Date,Sales,Expenses,Region,Customer_Satisfaction_Score,Website_Visits,Ad_Spend,Product_Category,Profit
03-01-2023 07:00,1455,1505,West,90,1641,712,Clothing,-50
03-01-2023 08:00,1828,2765,West,54,560,471,Electronics,-937
03-01-2023 09:00,1894,2224,East,90,1052,862,Electronics,-330
03-01-2023 10:00,2384,2504,East,79,687,734,Clothing,-120
03-01-2023 11:00,2958,2802,West,88,952,314,Groceries,156
03-01-2023 12:00,4072,2783,South,85,1346,361,Furniture,1289
03-01-2023 13:00,3434,2107,East,76,686,943,Groceries,1327
03-01-2023 14:00,2996,2289,South,99,1437,445,Electronics,707
03-01-2023 15:00,3395,770,West,67,1987,512,Groceries,2625
03-01-2023 16:00,1189,622,South,98,663,222,Groceries,567
03-01-2023 17:00,1504,1780,North,85,1947,863,Furniture,-276
03-01-2023 18:00,2214,1944,West,65,601,419,Clothing,270
03-01-2023 19:00,2531,758,North,54,1790,436,Clothing,1773
03-01-2023 20:00,4440,1447,West,58,1676,257,Clothing,2993
03-01-2023 21:00,4480,2594,North,83,1952,426,Groceries,1886
03-01-2023 22:00,1823,1362,South,83,1190,760,Groceries,461
03-01-2023 23:00,1928,1024,West,85,1950,164,Furniture,904
04-01-2023 00:00,1933,1387,West,80,1077,468,Clothing,546
04-01-2023 01:00,2140,707,North,69,1110,969,Furniture,1433
04-01-2023 02:00,1133,648,South,66,1035,103,Furniture,485
04-01-2023 03:00,3105,937,West,69,1856,785,Groceries,2168
04-01-2023 04:00,4627,2702,East,77,1260,747,Clothing,1925
04-01-2023 05:00,1684,2221,North,70,1395,855,Electronics,-537
04-01-2023 06:00,3719,857,West,68,1963,159,Electronics,2862
04-01-2023 07:00,3220,1740,South,52,1470,144,Groceries,1480
04-01-2023 08:00,2852,2430,South,79,623,683,Groceries,422
04-01-2023 09:00,1814,955,South,54,1825,706,Groceries,859
04-01-2023 10:00,2172,2132,South,91,1167,642,Groceries,40
04-01-2023 11:00,1079,1128,North,55,848,255,Electronics,-49
04-01-2023 12:00,3933,985,West,52,748,987,Clothing,2948
04-01-2023 13:00,4284,699,North,98,1794,851,Furniture,3585
04-01-2023 14:00,1202,870,North,91,1952,163,Electronics,332
04-01-2023 15:00,3811,1513,South,73,1206,520,Clothing,2298
04-01-2023 16:00,2252,2482,East,93,1212,422,Groceries,-230
04-01-2023 17:00,2699,1971,South,50,1506,208,Furniture,728
04-01-2023 18:00,2250,747,East,99,746,562,Clothing,1503
04-01-2023 19:00,2682,1287,North,85,980,679,Clothing,1395
04-01-2023 20:00,2555,2811,South,64,597,646,Furniture,-256
04-01-2023 21:00,4512,2578,South,90,828,350,Clothing,1934
04-01-2023 22:00,4473,2021,North,87,1948,965,Clothing,2452
04-01-2023 23:00,3094,1772,South,93,1947,609,Furniture,1322
05-01-2023 00:00,2256,1104,West,67,1528,647,Furniture,1152
05-01-2023 01:00,4376,2189,East,72,958,540,Electronics,2187
05-01-2023 02:00,2549,1917,East,96,1295,553,Groceries,632
05-01-2023 03:00,2166,2320,East,78,1092,743,Groceries,-154
05-01-2023 04:00,4486,1001,South,90,997,916,Clothing,3485
05-01-2023 05:00,4584,1048,West,71,586,833,Groceries,3536
05-01-2023 06:00,2396,1865,South,73,901,778,Electronics,531
05-01-2023 07:00,4637,1338,East,94,1816,373,Clothing,3299
05-01-2023 08:00,4957,1930,South,97,1804,159,Groceries,3027
05-01-2023 09:00,4330,1948,East,62,696,441,Groceries,2382
05-01-2023 10:00,3703,1347,North,82,1263,493,Clothing,2356
05-01-2023 11:00,1470,1113,East,99,1606,212,Furniture,357
05-01-2023 12:00,4018,911,North,71,526,320,Electronics,3107
05-01-2023 13:00,2035,2979,North,84,634,890,Clothing,-944
05-01-2023 14:00,2353,1177,North,66,1613,167,Clothing,1176
05-01-2023 15:00,3783,658,East,71,705,414,Groceries,3125
05-01-2023 16:00,3831,2561,West,54,1550,566,Furniture,1270
05-01-2023 17:00,1967,872,East,74,1901,957,Groceries,1095
05-01-2023 18:00,1357,2772,South,55,1938,362,Clothing,-1415
05-01-2023 19:00,4019,1596,South,66,1750,880,Clothing,2423
05-01-2023 20:00,4479,1102,West,80,1102,230,Groceries,3377
05-01-2023 21:00,1667,715,West,66,1591,523,Furniture,952
05-01-2023 22:00,1372,2496,West,82,861,366,Clothing,-1124
05-01-2023 23:00,2031,2064,North,88,1783,819,Electronics,-33
06-01-2023 00:00,2145,2340,West,97,1157,311,Furniture,-195
06-01-2023 01:00,2371,2462,West,86,1586,662,Clothing,-91
06-01-2023 02:00,3723,1226,West,97,1471,387,Furniture,2497
06-01-2023 03:00,1089,1744,East,53,1479,524,Furniture,-655
06-01-2023 04:00,4719,1565,South,92,1440,653,Electronics,3154
06-01-2023 05:00,3745,1175,South,63,1407,858,Clothing,2570
06-01-2023 06:00,4387,782,West,62,1915,806,Furniture,3605
06-01-2023 07:00,4249,1581,South,76,745,343,Clothing,2668
06-01-2023 08:00,1539,2408,East,73,777,811,Clothing,-869
06-01-2023 09:00,3779,1652,South,76,846,969,Furniture,2127
06-01-2023 10:00,1868,1447,North,57,871,732,Groceries,421
06-01-2023 11:00,1040,1164,East,96,1308,433,Furniture,-124
06-01-2023 12:00,1739,2217,South,99,1348,427,Groceries,-478
06-01-2023 13:00,4775,1648,South,88,622,814,Groceries,3127
06-01-2023 14:00,2946,566,East,70,1580,205,Groceries,2380
06-01-2023 15:00,3549,2553,South,90,659,861,Groceries,996
06-01-2023 16:00,4006,1136,South,60,1650,986,Furniture,2870
06-01-2023 17:00,4216,813,West,80,1236,900,Groceries,3403
06-01-2023 18:00,2224,1064,North,76,1834,178,Clothing,1160
06-01-2023 19:00,1928,2101,East,91,1017,264,Furniture,-173
06-01-2023 20:00,3036,1325,West,95,1434,945,Electronics,1711
06-01-2023 21:00,4795,1605,South,97,1788,730,Groceries,3190
06-01-2023 22:00,3508,1525,East,76,1245,156,Furniture,1983
06-01-2023 23:00,3779,2751,East,57,787,287,Groceries,1028
07-01-2023 00:00,3799,1161,North,82,919,151,Clothing,2638
07-01-2023 01:00,1924,1304,North,61,639,171,Groceries,620
07-01-2023 02:00,3956,2951,East,84,1206,852,Furniture,1005
07-01-2023 03:00,2581,1035,North,83,1197,423,Clothing,1546
07-01-2023 04:00,4618,1891,North,65,1486,711,Groceries,2727
07-01-2023 05:00,4324,1735,South,85,974,437,Electronics,2589
07-01-2023 06:00,1389,2420,North,51,888,254,Groceries,-1031
07-01-2023 07:00,2617,2664,North,61,1010,158,Groceries,-47
07-01-2023 08:00,3930,1127,West,76,1037,374,Clothing,2803
07-01-2023 09:00,1255,1248,South,66,712,870,Groceries,7
07-01-2023 10:00,1708,604,South,69,1396,300,Furniture,1104
07-01-2023 11:00,2838,545,East,70,1788,394,Furniture,2293
07-01-2023 12:00,2944,1854,North,79,1866,421,Clothing,1090
07-01-2023 13:00,3497,1739,West,91,1561,428,Furniture,1758
07-01-2023 14:00,1009,1481,West,69,732,489,Electronics,-472
07-01-2023 15:00,3871,1459,South,57,759,383,Groceries,2412
07-01-2023 16:00,1797,2015,North,67,807,275,Clothing,-218
07-01-2023 17:00,4313,2336,West,67,902,709,Furniture,1977
07-01-2023 18:00,4322,2996,East,67,1496,448,Electronics,1326
07-01-2023 19:00,1876,1981,North,51,1784,531,Electronics,-105
07-01-2023 20:00,2028,2059,North,61,1999,793,Clothing,-31
07-01-2023 21:00,4190,2007,North,81,1249,481,Clothing,2183
07-01-2023 22:00,2015,2563,West,91,1629,371,Furniture,-548
07-01-2023 23:00,2824,2500,South,57,1770,591,Groceries,324
08-01-2023 00:00,1373,2790,South,59,803,646,Electronics,-1417
08-01-2023 01:00,4136,2473,East,60,842,430,Electronics,1663
08-01-2023 02:00,3193,1411,West,63,1970,974,Clothing,1782
08-01-2023 03:00,1223,1794,North,75,1561,698,Electronics,-571
08-01-2023 04:00,2262,2302,East,96,1354,257,Clothing,-40
08-01-2023 05:00,3224,2253,East,79,1569,531,Groceries,971
08-01-2023 06:00,2802,614,South,91,1743,424,Clothing,2188
08-01-2023 07:00,1852,2103,North,53,755,215,Groceries,-251
08-01-2023 08:00,4353,1822,North,88,636,619,Furniture,2531
08-01-2023 09:00,1062,2360,West,60,1754,718,Clothing,-1298
08-01-2023 10:00,2240,2944,West,73,1317,718,Furniture,-704
08-01-2023 11:00,4925,2941,West,71,1472,725,Groceries,1984
08-01-2023 12:00,3874,1598,East,52,537,534,Electronics,2276
08-01-2023 13:00,3842,1477,North,86,1678,621,Furniture,2365
08-01-2023 14:00,1688,2005,South,51,604,895,Clothing,-317
08-01-2023 15:00,2484,1626,East,61,754,671,Clothing,858
08-01-2023 16:00,2633,796,East,70,1927,365,Furniture,1837
08-01-2023 17:00,3152,2725,South,54,987,497,Furniture,427
08-01-2023 18:00,4170,2862,South,56,957,201,Furniture,1308
08-01-2023 19:00,1510,1562,West,53,1027,162,Clothing,-52
08-01-2023 20:00,1384,758,South,92,1090,786,Furniture,626
08-01-2023 21:00,1404,2554,South,90,1024,808,Furniture,-1150
08-01-2023 22:00,3870,2596,South,85,869,923,Groceries,1274
08-01-2023 23:00,1517,2708,South,71,601,610,Furniture,-1191
09-01-2023 00:00,1475,2392,West,78,1415,321,Furniture,-917
09-01-2023 01:00,3000,675,East,58,1163,535,Clothing,2325
09-01-2023 02:00,3756,1500,North,75,1189,289,Clothing,2256
09-01-2023 03:00,4934,2418,North,61,1098,739,Electronics,2516
09-01-2023 04:00,2668,2167,East,97,1099,433,Clothing,501
09-01-2023 05:00,2893,775,North,50,1040,657,Clothing,2118
09-01-2023 06:00,3818,1175,North,57,888,680,Clothing,2643
09-01-2023 07:00,2460,2323,East,82,862,400,Clothing,137
09-01-2023 08:00,4094,1551,North,53,1430,450,Furniture,2543
09-01-2023 09:00,4044,1856,North,63,1111,975,Electronics,2188
09-01-2023 10:00,4636,2603,East,78,1638,669,Clothing,2033
09-01-2023 11:00,3724,1046,North,63,1221,827,Furniture,2678
09-01-2023 12:00,1713,1635,South,58,842,214,Clothing,78
09-01-2023 13:00,4529,2583,East,58,1597,621,Electronics,1946
09-01-2023 14:00,1082,2540,West,75,634,466,Groceries,-1458
09-01-2023 15:00,2168,938,North,98,1439,368,Groceries,1230
09-01-2023 16:00,4156,2252,West,96,1477,903,Electronics,1904
09-01-2023 17:00,4149,2115,North,91,879,185,Furniture,2034
09-01-2023 18:00,3504,2349,South,66,1648,995,Furniture,1155
09-01-2023 19:00,2901,2100,East,90,537,477,Electronics,801
09-01-2023 20:00,3048,2163,West,53,1280,246,Groceries,885
09-01-2023 21:00,1050,806,East,95,809,217,Clothing,244
09-01-2023 22:00,1684,1118,West,52,605,234,Groceries,566
09-01-2023 23:00,1716,1632,North,78,1055,626,Clothing,84
10-01-2023 00:00,4843,1895,South,74,1748,948,Electronics,2948
10-01-2023 01:00,2469,2904,West,70,1765,913,Electronics,-435
10-01-2023 02:00,1448,2728,West,61,896,305,Electronics,-1280
10-01-2023 03:00,1880,1879,South,50,652,332,Groceries,1
10-01-2023 04:00,1487,2199,South,50,1035,915,Electronics,-712
10-01-2023 05:00,2823,2615,South,94,1495,165,Groceries,208
10-01-2023 06:00,3081,2839,South,95,1465,103,Furniture,242
10-01-2023 07:00,4419,680,South,97,1925,102,Clothing,3739
10-01-2023 08:00,3142,2981,East,56,1669,358,Clothing,161
10-01-2023 09:00,4143,1987,North,59,1714,814,Clothing,2156
10-01-2023 10:00,2574,1413,North,64,1392,424,Electronics,1161
10-01-2023 11:00,3201,2057,West,89,1082,339,Clothing,1144
10-01-2023 12:00,1249,2613,South,60,700,704,Electronics,-1364
10-01-2023 13:00,1673,1544,East,95,511,895,Groceries,129
10-01-2023 14:00,1437,2135,East,94,1575,634,Electronics,-698
10-01-2023 15:00,3165,2931,West,72,1267,897,Clothing,234
10-01-2023 16:00,1770,2138,South,62,1825,417,Electronics,-368
10-01-2023 17:00,4962,2082,North,76,1823,698,Electronics,2880
10-01-2023 18:00,4377,2586,South,90,1419,150,Groceries,1791
10-01-2023 19:00,1267,1808,East,66,1020,908,Electronics,-541
10-01-2023 20:00,2984,1321,South,99,1663,569,Clothing,1663
10-01-2023 21:00,2077,1101,North,62,599,931,Electronics,976
10-01-2023 22:00,1235,2120,North,61,1660,142,Furniture,-885
10-01-2023 23:00,1388,1284,West,78,1370,303,Electronics,104
11-01-2023 00:00,4037,1711,East,70,865,446,Furniture,2326
11-01-2023 01:00,4805,1170,South,69,1156,157,Clothing,3635
11-01-2023 02:00,1762,1766,South,69,660,158,Furniture,-4
11-01-2023 03:00,2848,1596,West,80,1260,779,Furniture,1252
11-01-2023 04:00,3448,2497,West,57,674,785,Furniture,951
11-01-2023 05:00,1623,600,West,73,1611,610,Furniture,1023
11-01-2023 06:00,3814,2279,East,60,1922,417,Furniture,1535
11-01-2023 07:00,4374,675,South,88,1044,532,Electronics,3699
11-01-2023 08:00,3966,737,West,82,976,471,Groceries,3229
11-01-2023 09:00,4278,1622,East,91,782,306,Furniture,2656
11-01-2023 10:00,2252,2477,South,64,1456,210,Clothing,-225
11-01-2023 11:00,3900,2503,North,53,951,122,Clothing,1397
11-01-2023 12:00,4981,2037,West,50,581,527,Electronics,2944
11-01-2023 13:00,1577,1254,East,81,1736,844,Groceries,323
11-01-2023 14:00,3122,2758,South,60,1315,886,Groceries,364
11-01-2023 15:00,1434,1646,South,79,1019,783,Furniture,-212
11-01-2023 16:00,3150,1911,West,86,633,110,Clothing,1239
11-01-2023 17:00,4493,639,West,68,946,671,Clothing,3854
11-01-2023 18:00,4775,1040,South,85,617,843,Electronics,3735
11-01-2023 19:00,1763,1914,East,83,1766,846,Furniture,-151
11-01-2023 20:00,3785,769,North,56,1248,614,Clothing,3016
11-01-2023 21:00,3853,1535,South,94,1673,243,Furniture,2318
11-01-2023 22:00,2329,2390,East,69,1145,841,Groceries,-61
11-01-2023 23:00,3145,1005,West,61,878,620,Furniture,2140
12-01-2023 00:00,4921,1629,South,81,1107,908,Furniture,3292
12-01-2023 01:00,3845,2579,West,51,1465,393,Electronics,1266
12-01-2023 02:00,2358,2372,North,71,1024,424,Electronics,-14
12-01-2023 03:00,3906,1592,West,90,1640,292,Groceries,2314
12-01-2023 04:00,3482,1312,North,97,1075,390,Groceries,2170
12-01-2023 05:00,1446,861,West,89,1436,738,Furniture,585
12-01-2023 06:00,3017,1956,West,73,1161,518,Clothing,1061
12-01-2023 07:00,2331,1428,North,99,1840,559,Furniture,903
12-01-2023 08:00,1248,599,West,80,1375,147,Groceries,649
12-01-2023 09:00,1165,2181,East,53,511,206,Electronics,-1016
12-01-2023 10:00,4552,2556,West,73,1613,363,Electronics,1996
12-01-2023 11:00,4031,1552,South,92,887,352,Groceries,2479
12-01-2023 12:00,2358,1420,West,66,582,638,Furniture,938
12-01-2023 13:00,2019,2937,East,89,1475,620,Clothing,-918
12-01-2023 14:00,1541,1131,South,68,895,831,Electronics,410
12-01-2023 15:00,1758,1181,East,89,1044,257,Furniture,577
12-01-2023 16:00,4177,2704,South,87,1160,625,Clothing,1473
12-01-2023 17:00,4634,2882,West,83,1139,128,Groceries,1752
12-01-2023 18:00,3128,2807,East,96,599,637,Furniture,321
12-01-2023 19:00,3180,2629,West,82,956,825,Clothing,551
12-01-2023 20:00,1796,1253,South,55,1373,242,Furniture,543
12-01-2023 21:00,3947,1964,East,85,827,726,Electronics,1983
12-01-2023 22:00,1137,1219,North,62,1223,940,Groceries,-82
12-01-2023 23:00,3231,574,East,96,573,317,Electronics,2657
13-01-2023 00:00,4472,1793,West,58,1619,692,Electronics,2679
13-01-2023 01:00,2353,2422,North,84,591,812,Furniture,-69
13-01-2023 02:00,3832,561,North,83,829,166,Groceries,3271
13-01-2023 03:00,4579,1373,South,65,674,860,Furniture,3206
13-01-2023 04:00,2875,819,North,67,814,243,Clothing,2056
13-01-2023 05:00,4031,2649,North,67,996,240,Groceries,1382
13-01-2023 06:00,1068,1952,South,87,1792,445,Electronics,-884
13-01-2023 07:00,3593,1373,East,99,927,564,Electronics,2220
13-01-2023 08:00,4845,2245,West,92,534,195,Electronics,2600
13-01-2023 09:00,3100,2802,East,81,618,507,Furniture,298
13-01-2023 10:00,2473,2055,North,56,1894,217,Furniture,418
13-01-2023 11:00,1204,611,West,72,1424,929,Furniture,593
13-01-2023 12:00,3173,960,East,72,1974,796,Groceries,2213
13-01-2023 13:00,4818,1386,West,95,1832,903,Groceries,3432
13-01-2023 14:00,1042,1615,North,67,1880,543,Groceries,-573
13-01-2023 15:00,4823,1575,East,56,1899,856,Groceries,3248
13-01-2023 16:00,2906,1019,West,91,1327,479,Clothing,1887
13-01-2023 17:00,3158,1311,West,89,1628,812,Electronics,1847
13-01-2023 18:00,1760,2783,East,73,889,377,Furniture,-1023
13-01-2023 19:00,4734,2424,East,63,675,460,Furniture,2310
13-01-2023 20:00,4254,2104,North,99,605,469,Clothing,2150
13-01-2023 21:00,3895,1426,South,54,1091,721,Electronics,2469
13-01-2023 22:00,3142,1056,West,95,1686,311,Electronics,2086
13-01-2023 23:00,2994,2781,East,71,1413,358,Clothing,213
14-01-2023 00:00,4445,1555,East,71,1790,775,Groceries,2890
14-01-2023 01:00,2935,1078,East,59,1802,196,Electronics,1857
14-01-2023 02:00,4591,1041,West,75,1826,309,Groceries,3550
14-01-2023 03:00,1899,2661,North,64,1454,647,Clothing,-762
14-01-2023 04:00,1359,2751,South,87,1452,877,Furniture,-1392
14-01-2023 05:00,3947,1552,West,90,1360,711,Furniture,2395
14-01-2023 06:00,2719,973,North,91,626,120,Furniture,1746
14-01-2023 07:00,1280,2800,West,98,1769,828,Furniture,-1520
14-01-2023 08:00,4266,1404,West,50,1323,532,Electronics,2862
14-01-2023 09:00,2887,2445,East,63,733,715,Groceries,442
14-01-2023 10:00,4266,885,North,85,1166,470,Furniture,3381
14-01-2023 11:00,1666,561,East,80,1430,492,Furniture,1105
14-01-2023 12:00,1092,1014,East,77,1962,723,Furniture,78
14-01-2023 13:00,1671,929,North,83,636,318,Clothing,742
14-01-2023 14:00,2969,1079,East,84,1055,603,Electronics,1890
14-01-2023 15:00,1060,2060,East,88,1258,731,Clothing,-1000
14-01-2023 16:00,3681,1664,South,72,1672,860,Groceries,2017
14-01-2023 17:00,4122,1823,North,95,555,946,Furniture,2299
14-01-2023 18:00,4474,2858,North,93,855,195,Electronics,1616
14-01-2023 19:00,4860,970,East,68,1780,531,Electronics,3890
14-01-2023 20:00,2028,1916,East,67,1422,287,Electronics,112
14-01-2023 21:00,2489,2165,North,64,1312,600,Clothing,324
14-01-2023 22:00,1603,1968,North,50,1586,975,Clothing,-365
14-01-2023 23:00,1681,1308,West,74,1586,474,Clothing,373
15-01-2023 00:00,4900,671,North,75,1305,533,Clothing,4229
15-01-2023 01:00,3581,530,West,84,1552,522,Groceries,3051
15-01-2023 02:00,2428,546,East,64,1099,243,Furniture,1882
15-01-2023 03:00,3885,629,South,53,1067,639,Furniture,3256
15-01-2023 04:00,4584,2899,South,64,1823,598,Clothing,1685
15-01-2023 05:00,3692,1477,West,91,1204,105,Clothing,2215
15-01-2023 06:00,3280,2145,East,87,1111,416,Clothing,1135
15-01-2023 07:00,1523,2104,East,94,1738,873,Groceries,-581
15-01-2023 08:00,3393,557,East,88,640,329,Groceries,2836
15-01-2023 09:00,4117,1629,North,50,1060,221,Electronics,2488
15-01-2023 10:00,3593,1853,East,71,998,594,Furniture,1740
15-01-2023 11:00,2968,1267,North,60,1126,805,Clothing,1701
15-01-2023 12:00,2101,1182,West,95,1001,716,Electronics,919
15-01-2023 13:00,2753,2508,South,87,1240,810,Furniture,245
15-01-2023 14:00,2836,2833,West,86,1263,574,Electronics,3
15-01-2023 15:00,4994,2290,East,75,1714,673,Groceries,2704
15-01-2023 16:00,4144,1977,East,76,1174,895,Groceries,2167
15-01-2023 17:00,3841,1385,West,62,548,607,Electronics,2456
15-01-2023 18:00,3296,896,North,56,1886,691,Electronics,2400
15-01-2023 19:00,3094,2038,North,57,1126,274,Furniture,1056
15-01-2023 20:00,2144,2573,North,95,1179,620,Clothing,-429
15-01-2023 21:00,3261,812,South,72,776,791,Furniture,2449
15-01-2023 22:00,3286,2673,South,75,546,370,Furniture,613
15-01-2023 23:00,2079,2088,East,93,1425,773,Groceries,-9
16-01-2023 00:00,3397,1721,West,76,715,887,Groceries,1676
16-01-2023 01:00,1106,1310,West,58,729,817,Electronics,-204
16-01-2023 02:00,3878,2735,East,95,822,671,Groceries,1143
16-01-2023 03:00,1047,2532,North,87,1944,285,Furniture,-1485
16-01-2023 04:00,4644,2007,South,96,724,686,Electronics,2637
16-01-2023 05:00,1336,949,West,62,1810,193,Electronics,387
16-01-2023 06:00,2049,2394,East,56,545,678,Groceries,-345
16-01-2023 07:00,3851,1877,North,60,1537,613,Clothing,1974
16-01-2023 08:00,2280,1096,North,59,1132,277,Groceries,1184
16-01-2023 09:00,3055,2647,South,82,874,753,Electronics,408
16-01-2023 10:00,1624,1115,South,88,1202,655,Electronics,509
16-01-2023 11:00,2890,1447,East,99,1486,785,Clothing,1443
16-01-2023 12:00,2276,2081,East,52,832,394,Furniture,195
16-01-2023 13:00,2715,1055,North,90,665,330,Electronics,1660
16-01-2023 14:00,3766,777,North,78,1006,335,Clothing,2989
16-01-2023 15:00,1302,2513,West,86,616,192,Furniture,-1211
16-01-2023 16:00,1638,990,North,94,1442,586,Groceries,648
16-01-2023 17:00,1055,754,East,65,1135,143,Clothing,301
16-01-2023 18:00,1725,2928,South,65,1962,638,Furniture,-1203
16-01-2023 19:00,1525,1391,East,93,1827,883,Electronics,134
16-01-2023 20:00,1473,1041,West,99,956,574,Electronics,432
16-01-2023 21:00,1027,1787,West,92,1368,138,Clothing,-760
16-01-2023 22:00,3125,2133,South,98,1794,484,Groceries,992
16-01-2023 23:00,4287,1324,East,56,715,534,Clothing,2963
17-01-2023 00:00,4457,1852,West,64,612,388,Electronics,2605
17-01-2023 01:00,1364,780,East,87,1539,347,Furniture,584
17-01-2023 02:00,3713,1798,West,55,715,661,Groceries,1915
17-01-2023 03:00,1525,1272,South,67,926,458,Furniture,253
17-01-2023 04:00,3746,827,West,68,1658,537,Clothing,2919
17-01-2023 05:00,2335,2758,East,51,1566,894,Clothing,-423
17-01-2023 06:00,1882,1422,East,52,1263,308,Furniture,460
17-01-2023 07:00,2030,1051,West,95,783,223,Furniture,979
17-01-2023 08:00,2026,2573,North,74,1333,953,Furniture,-547
17-01-2023 09:00,2646,2574,South,85,1621,860,Clothing,72
17-01-2023 10:00,1918,1201,South,98,1583,502,Furniture,717
17-01-2023 11:00,3797,2419,West,77,729,383,Electronics,1378
17-01-2023 12:00,3410,2960,West,87,884,762,Furniture,450
17-01-2023 13:00,2774,666,North,77,658,675,Electronics,2108
17-01-2023 14:00,2531,668,South,81,1323,340,Electronics,1863
17-01-2023 15:00,4345,728,North,90,970,266,Furniture,3617
17-01-2023 16:00,4577,2502,South,85,707,851,Groceries,2075
17-01-2023 17:00,3853,866,West,88,673,660,Groceries,2987
17-01-2023 18:00,3786,1027,South,85,1604,798,Groceries,2759
17-01-2023 19:00,2906,1290,South,92,1541,247,Electronics,1616
17-01-2023 20:00,4086,1023,South,72,1516,800,Groceries,3063
17-01-2023 21:00,2215,1595,North,51,1207,722,Groceries,620
17-01-2023 22:00,2654,2168,North,59,1814,995,Furniture,486
17-01-2023 23:00,1484,2653,South,55,1883,364,Clothing,-1169
18-01-2023 00:00,3075,2408,East,57,1802,600,Electronics,667
18-01-2023 01:00,1713,1805,North,64,1474,378,Clothing,-92
18-01-2023 02:00,2062,632,West,94,896,848,Electronics,1430
18-01-2023 03:00,2976,2816,West,78,1473,258,Electronics,160
18-01-2023 04:00,2296,2142,South,77,1265,159,Groceries,154
18-01-2023 05:00,2254,2388,West,71,1665,598,Furniture,-134
18-01-2023 06:00,3133,2270,North,83,1176,416,Clothing,863
18-01-2023 07:00,4545,517,East,69,1016,686,Clothing,4028
18-01-2023 08:00,1125,2277,East,82,1774,587,Groceries,-1152
